miRNA	miRBase	small melocule	FDA	DB	CID	Detection method 	Species	Condition	PMID	Year	Reference	Support	Expression pattern of miRNA	
miR-182	MIMAT0001271	Perfluorooctane sulfonate 	NULL	NULL	74483	Microarray	Danio rerio 	zebrafish embryos	20878907	2011	MicroRNA expression changes during zebrafish development induced by perfluorooctane sulfonate.	Among the detectedmiRNAs, 39 and 81 miRNAs were differentially expressed at 24 and 120 hpf respectively (Fig. 2, Table S1, see Supporting Information).	up-regulated	
miR-182	MIMAT0005300	Comfrey	NULL	NULL	6440495	Microarray	Rattus norvegicus 	rat liver	21370286	2011	MicroRNAs and their predicted target messenger RNAs are deregulated by exposure to a carcinogenic dose of comfrey in rat liver.	Overall,  microarray  analysis  identified  a  total  of  45 miRNAs  (Table  I)  whose  expression  was  significantly changed  by  the  comfrey  treatment  (P  <  0.01).  	up-regulated	
miR-182	MIMAT0005300	Comfrey	NULL	NULL	6440495	Quantitative real-time PCR	Rattus norvegicus 	rat liver	21370286	2011	MicroRNAs and their predicted target messenger RNAs are deregulated by exposure to a carcinogenic dose of comfrey in rat liver.	To confirm  our  array  expression  results,  seven  of  the  DEMs(miR-34a,    miR-200b,    miR-214,    miR-182,    miR-92a,miR-125b-5p, and miR-203) were chosen for quantitative real-time PCR analysis.	up-regulated	
miR-182	MIMAT0005300	Chaihu Shugan San	NULL	NULL	NULL	Microarray 	Rattus norvegicus 	hippocampus	23947143	2013	[Screening of specific microRNA in hippocampus of depression model rats and intervention effect of Chaihu Shugan San].	Among them, down-regulating miRNAs included miR298, miR-130b, miR-135a, miR-323, miR-503, miR-15b, miR-532, and miR-125a, and the up-regulation miRNAs included miR7a, miR-212, miR-124, miR-139, and miR-182.	up-regualted	
miR-182	MIMAT0005300	ACTH	approved	DB01285 	16132265	Quantitative real-time PCR	Rattus norvegicus 	adrenals and granulosa cells	24205079	2014	Hormonal regulation of microRNA expression in steroid producing cells of the ovary, testis and adrenal gland	ACTH up-regulated the expression of miRNA-212, miRNA-182, miRNA-183, miRNA-132, and miRNA-96 	up-regulated	
miR-182	MIMAT0005300	Aristolochic acid 	NULL	NULL	2236	Microarray 	Rattus norvegicus 	kidney	25106556	2014	Tissue-specific microRNA responses in rats treated with mutagenic and carcinogenic doses of aristolochic acid	A total of 19 kidney and 1 liver miRNA (out of 247 detectable miRNAs) were differentially expressed between the treatment and the control groups (Table 1).	up-regualted	
miR-182 	MIMAT0000211	Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)	NULL	NULL	8490	Microarray	Mus musculus 	mouse brain	19270793	2009	RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver	The expression levels of 84 miRNAs were significantly altered in mouse brain after RDX exposure (Table 1,Figures 3, 4A).	down-regulated	
miR-182 	MIMAT0000259	5-Fluorouracil 	approved	DB00544	3385	Microarray	Homo sapiens 	HCT-116 colon cancer cell line	19956872	2010	5-Fluorouracil and oxaliplatin modify the expression profiles of microRNAs in human colon cancer cells in vitro.	There were 17 and 3 miRNAs significantly (p<0.01)down-regulated  in  HCT-8  cells following  exposure  to  5-FU and  L-OHP  for  24  h,  respectively,  and  the  corresponding numbers  of  down-regulated  miRNAs  were  15  for  both  in HCT-116 cells (Table III).	down-regulated	
miR-1820	MIMAT0006587	Nicotine	approved	DB00184	89594	Microarray 	Caenorhabditis elegans	Caenorhabditis elegans	23765240	2013	Chronic nicotine exposure systemically alters microRNA expression profiles during post-embryonic stages in Caenorhabditis elegans.	The most downregulated miRNAs were mir-58 (P?=?0.014) followed by mir-1821 (P?=?0.03) and lin-4 (P?=?0.002) (Table 1). 	down-regualted	
miR-1821 	MIMAT0006588	Nicotine	approved	DB00184	89594	Microarray 	Caenorhabditis elegans	Caenorhabditis elegans	23765240	2013	Chronic nicotine exposure systemically alters microRNA expression profiles during post-embryonic stages in Caenorhabditis elegans.	The most downregulated miRNAs were mir-58 (P?=?0.014) followed by mir-1821 (P?=?0.03) and lin-4 (P?=?0.002) (Table 1).   	down-regualted	
miR-1826	Dead miRNA entry 	5-Fluorouracil 	approved	DB00544	3385	Microarray	Homo sapiens 	HCT-8 colon cancer cell line	19956872	2010	5-Fluorouracil and oxaliplatin modify the expression profiles of microRNAs in human colon cancer cells in vitro.	There were 17 and 3 miRNAs significantly (p<0.01)down-regulated  in  HCT-8  cells following  exposure  to  5-FU and  L-OHP  for  24  h,  respectively,  and  the  corresponding numbers  of  down-regulated  miRNAs  were  15  for  both  in HCT-116 cells (Table III).	down-regulated	
miR-1826	Dead miRNA entry 	5-Fluorouracil 	approved	DB00544	3385	Quantitative real-time PCR	Homo sapiens 	HCT-116 colon cancer cell line	19956872	2010	5-Fluorouracil and oxaliplatin modify the expression profiles of microRNAs in human colon cancer cells in vitro.	The qRT-PCR data showed that the expressions of all the six miRNAs were down-regulated in both cell lines after the treatment  of  5-FU  or  L-OHP  except  for  miR-93,  miR-92a and miR-197 in HCT-116 cells following exposure to L-OHP(Fig.  3B  and  C). 	down-regulated	
miR-1826	Dead miRNA entry 	5-Fluorouracil 	approved	DB00544	3385	Quantitative real-time PCR	Homo sapiens 	HCT-8 colon cancer cell line	19956872	2010	5-Fluorouracil and oxaliplatin modify the expression profiles of microRNAs in human colon cancer cells in vitro.	The qRT-PCR data showed that the expressions of all the six miRNAs were down-regulated in both cell lines after the treatment  of  5-FU  or  L-OHP  except  for  miR-93,  miR-92a and miR-197 in HCT-116 cells following exposure to L-OHP(Fig.  3B  and  C). 	down-regulated	
miR-1826	Dead miRNA entry 	Oxaliplatin (L-OHP)	approved	DB00526	5310940	Microarray	Homo sapiens 	HCT-8 colon cancer cell line	19956872	2010	5-Fluorouracil and oxaliplatin modify the expression profiles of microRNAs in human colon cancer cells in vitro.	There were 17 and 3 miRNAs significantly (p<0.01)down-regulated  in  HCT-8  cells following  exposure  to  5-FU and  L-OHP  for  24  h,  respectively,  and  the  corresponding numbers  of  down-regulated  miRNAs  were  15  for  both  in HCT-116 cells (Table III).	down-regulated	
miR-1826	Dead miRNA entry 	Oxaliplatin (L-OHP)	approved	DB00526	5310940	Quantitative real-time PCR	Homo sapiens 	HCT-116 colon cancer cell line	19956872	2010	5-Fluorouracil and oxaliplatin modify the expression profiles of microRNAs in human colon cancer cells in vitro.	The qRT-PCR data showed that the expressions of all the six miRNAs were down-regulated in both cell lines after the treatment  of  5-FU  or  L-OHP  except  for  miR-93,  miR-92a and miR-197 in HCT-116 cells following exposure to L-OHP(Fig.  3B  and  C). 	down-regulated	
miR-1826	Dead miRNA entry 	Oxaliplatin (L-OHP)	approved	DB00526	5310940	Quantitative real-time PCR	Homo sapiens 	HCT-8 colon cancer cell line	19956872	2010	5-Fluorouracil and oxaliplatin modify the expression profiles of microRNAs in human colon cancer cells in vitro.	The qRT-PCR data showed that the expressions of all the six miRNAs were down-regulated in both cell lines after the treatment  of  5-FU  or  L-OHP  except  for  miR-93,  miR-92a and miR-197 in HCT-116 cells following exposure to L-OHP(Fig.  3B  and  C). 	down-regulated	
miR-1826	Dead miRNA entry 	Morphine	approved	DB00295	5288826	Microarray	Homo sapiens 	human monocyte-derived macrophages (h-mdms) infection with HIV-1	20564181	2010	Morphine treatment of human monocyte-derived macrophages induces differential miRNA and protein expression: impact on inflammation and oxidative stress in the central nervous system.	Approximately, 26 miRNAs exhibited differential expression with log2 values ± 0.6 range (p < 0.01) (Fig. 1B). 	up-regulated	
miR-1826	Dead miRNA entry 	5-Fluorouracil 	approved	DB00544	3385	Microarray	Homo sapiens 	MCF-7 breast cancer cells	21506117	2011	5-Fluorouracil drug alters the microRNA expression profiles in MCF-7 breast cancer cells.	miRNA microarray analysis of 5-FU treated MCF-7 cells identified a set of 42 miRNAs which were significantly dysregulated between 5-FU treated and control samples (Table 1).	up-regulated	
miR-1826	Dead miRNA entry 	Marine fungal metabolite 1386A	NULL	NULL	NULL	Microarray	Homo sapiens 	MCF-7 breast cancer cells.	22159329	2012	Marine fungal metabolite 1386A alters the microRNA profile in MCF-7 breast cancer cells.	1386A treatment significantly altered the miRNA expression profile in MCF-7 cells. miRNA microarray analysis identified 45 miRNAs which showed significant dysregulation between the 1386A-treated and control samples (Table I). 	up-regulated	
miR-1827	MIMAT0006767	Atorvastatin	approved	DB01076	60823	Microarray 	Homo sapiens	PC3 prostate cancer cells 	23936432	2013	Inhibition of proliferation and induction of autophagy by atorvastatin in PC3 prostate cancer cells correlate with downregulation of Bcl2 and upregulation of miR-182 and p21.	miRNAs differentially regulated by ATO in PC3 cells following atorvastatin treatment (fold change cutoff value: 2.0)	up-regualted	
miR-1827	MIMAT0006767	Atorvastatin	approved	DB01076	60823	Microarray 	Homo sapiens	LNCaP prostate cancer cells	23936432	2013	Inhibition of proliferation and induction of autophagy by atorvastatin in PC3 prostate cancer cells correlate with downregulation of Bcl2 and upregulation of miR-182 and p21.	miRNAs differentially regulated by ATO in PC3 cells following atorvastatin treatment (fold change cutoff value: 2.0)	down-regualted	
miR-1829b 	MIMAT0006770	Nicotine	approved	DB00184	89594	Microarray 	Caenorhabditis elegans	Caenorhabditis elegans	23765240	2013	Chronic nicotine exposure systemically alters microRNA expression profiles during post-embryonic stages in Caenorhabditis elegans.	The most downregulated miRNAs were mir-58 (P?=?0.014) followed by mir-1821 (P?=?0.03) and lin-4 (P?=?0.002) (Table 1).   	up-regualted	
miR-183	MIMAT0000212	(S)-3,5-dihydroxyphenylglycine (DHPG) 	NULL	NULL	443586	Quantitative real-time PCR	Mus musculus	mouse brain	22309833	2012	Effect of (S)-3,5-DHPG on microRNA expression in mouse brain.	We then examined the expression of microRNAs in the cerebral Table 3 lists the signi?cantly regulated microRNAs detected at 4, 8 and 24 h after DHPG treatment in the qPCR arrays and their corresponding ??Ct values and fold changes.(24h after)	up-regulated	
miR-183	MIMAT0000212	Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)	NULL	NULL	8490	Microarray	Mus musculus 	mouse brain	19270793	2009	RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver	The expression levels of 84 miRNAs were significantly altered in mouse brain after RDX exposure (Table 1,Figures 3, 4A).	down-regulated	
miR-183	MIMAT0000261	Hydroxamic acid HDACi LAQ824	NULL	NULL	NULL	Microarray	Homo sapiens 	breast cancer cell line SKBr3	16452179	2006	Rapid alteration of microRNA levels by histone deacetylase inhibition.	As shown in the Fig. 1B heat map, following LAQ824 treatment, the expression level of many SKBr3 miRNAs were altered with 22 miRNAs down-regulated and 5 miRNAs up-regulated.	down-regulated	
miR-183	MIMAT0000261	5-aza-2'-deoxycytidine (5-Aza-CdR) + 4-phenylbutyric acid (PBA)	NULL	NULL	NULL	Microarray	Homo sapiens 	T24 human bladder cancer cells	16766263	2006	Specific activation of microRNA-127 with downregulation of the proto-oncogene BCL6 by chromatin-modifying drugs in human cancer cells.	The combination treatment with 5-Aza-CdR and PBA showed that 17 out of 313 (5.4%) human miRNAs examined were upregulated more than 3-fold in T24 cells (Figure 1A).	up-regulated	
miR-183	MIMAT0000261	Vorinostat (SAHA)	approved	DB02546	5311	Microarray	Homo sapiens 	A549 human non-small cell lung cancer cells	19513533	2009	Suberoylanilide hydroxamic acid (SAHA) changes microRNA expression profiles in A549 human non-small cell lung cancer cells.	To  further  confirm  that  miRNA  expression  patterns  are affected by the SAHA dose, we analyzed 227 flagged miRNAs and removed those that did not demonstrate a 2-fold change in  expression  levels  by  comparing  the  control,  2.5  um  and 5.0  um  treated  cells.  A total  of  64  miRNAs  were  selected for  further  study  (Table  I)  and  their  expression  profiles  are shown  in  Fig.  2A. 	up-regulated	
miR-183	MIMAT0000261	Mistletoe lectin-I 	NULL	NULL	NULL	Microarray	Homo sapiens 	colorectal cancer cells CLY cells	20955366	2011	Down-regulation of some miRNAs by degrading their precursors contributes to anti-cancer effect of mistletoe lectin-I.	Among the 428 human mature miRNAs analysed, 22 miRNAs were found to be down-regulated by more than twofold as compared with controls in CM-1-treated CLY cells, and 18 in CM-1-treated HT-29 cells (Table S2). 	down-regulated	
miR-183	MIMAT0000261	Mistletoe lectin-I 	NULL	NULL	NULL	Microarray	Homo sapiens 	colorectal cancer cells HT-29 cells	20955366	2011	Down-regulation of some miRNAs by degrading their precursors contributes to anti-cancer effect of mistletoe lectin-I.	Among the 428 human mature miRNAs analysed, 22 miRNAs were found to be down-regulated by more than twofold as compared with controls in CM-1-treated CLY cells, and 18 in CM-1-treated HT-29 cells (Table S2). 	down-regulated	
miR-183	MIMAT0000261	Arsenic trioxide	approved	DB01169	14888	Quantitative real-time PCR	Homo sapiens 	acute promyelocytic leukemia	22072212	2012	Alteration in miRNA gene expression pattern in acute promyelocytic leukemia cell induced by arsenic trioxide: a possible mechanism to explain arsenic multi-target action.	Figure 4 shows the list of the 88 cancer-related miRNAs used  in  this  experiment  and  their  fold  changes  in  the expression  level  after  ATO  exposure.   	up-regulated	
miR-183	MIMAT0000261	Ethanol	NULL	DB00898	702	Quantitative real-time PCR	Homo sapiens 	CIE10	22141737	2012	Chronic intermittent ethanol exposure and its removal induce a different miRNA expression pattern in primary cortical neuronal cultures.	Sixty-two miRNAs were differentially expressed after 10 days of CIE (CIE10) treatment (n = 42 with false discovery rate [FDR]?< 0.05 and fold change > 2) and 5 days post-CIE (P5) treatment (n = 26) compared with untreated control values. Compared to CIE10, ethanol (EtOH) removal experience in P5 induced a distinct expression pattern, including 20 differentially expressed miRNAs,	down-regulated	
miR-183	MIMAT0000261	Piceatannol	NULL	DB08399 	667639	Quantitative real-time PCR	Homo sapiens 	leukemia U937 cells	22705645	2012	Suppression of Akt/Foxp3-mediated miR-183 expression blocks Sp1-mediated ADAM17 expression and TNF?-mediated NF?B activation in piceatannol-treated human leukemia U937 cells.	Piceatannol-elicited down-regulation of miR-183 expression was found to cause ?-TrCP up-regulation	down-regulated	
miR-183	MIMAT0000860	Comfrey	NULL	NULL	6440495	Microarray	Rattus norvegicus 	rat liver	21370286	2011	MicroRNAs and their predicted target messenger RNAs are deregulated by exposure to a carcinogenic dose of comfrey in rat liver.	Overall,  microarray  analysis  identified  a  total  of  45 miRNAs  (Table  I)  whose  expression  was  significantly changed  by  the  comfrey  treatment  (P  <  0.01).  	up-regulated	
miR-183	MIMAT0000860	ACTH	approved	DB01285 	16132265	Quantitative real-time PCR	Rattus norvegicus 	adrenals and granulosa cells	24205079	2014	Hormonal regulation of microRNA expression in steroid producing cells of the ovary, testis and adrenal gland	ACTH up-regulated the expression of miRNA-212, miRNA-182, miRNA-183, miRNA-132, and miRNA-96 	up-regulated	
miR-183	MIMAT0000860	Dexamethasone	approved	DB01234	5743	Quantitative real-time PCR	Rattus norvegicus 	adrenals and granulosa cells	24205079	2014	Hormonal regulation of microRNA expression in steroid producing cells of the ovary, testis and adrenal gland	Dexamethasone treatment decreased miRNA-200b, miR-122, miR-19a, miRNA-466b and miRNA27a levels, but increased miRNA-183 levels.	up-regulated	
miR-183	MIMAT0000860	Aristolochic acid 	NULL	NULL	2236	Microarray 	Rattus norvegicus 	kidney	25106556	2014	Tissue-specific microRNA responses in rats treated with mutagenic and carcinogenic doses of aristolochic acid	A total of 19 kidney and 1 liver miRNA (out of 247 detectable miRNAs) were differentially expressed between the treatment and the control groups (Table 1).	up-regualted	
miR-183	MIMAT0001273	Perfluorooctane sulfonate 	NULL	NULL	74483	Microarray	Danio rerio 	zebrafish embryos	20878907	2011	MicroRNA expression changes during zebrafish development induced by perfluorooctane sulfonate.	Among the detectedmiRNAs, 39 and 81 miRNAs were differentially expressed at 24 and 120 hpf respectively (Fig. 2, Table S1, see Supporting Information).	up-regulated	
miR-183	MIMAT0001273	Ethanol	NULL	DB00898	702	Quantitative real-time PCR	Danio rerio 	zebrafish embryos	22298809	2012	Ethanol exposure induces upregulation of specific microRNAs in zebrafish embryos	The miRNA expression profiles obtained reveal significant miRNA deregulation and show that both ethanol concentrations upregulate miR-153a, miR-725, miR-30d, let-7k, miR-100, miR-738, and miR-738.	up-regulated	
miR-183*	MIMAT0004560	Ethanol	NULL	DB00898	702	Quantitative real-time PCR	Homo sapiens 	CIE10	22141737	2012	Chronic intermittent ethanol exposure and its removal induce a different miRNA expression pattern in primary cortical neuronal cultures.	Sixty-two miRNAs were differentially expressed after 10 days of CIE (CIE10) treatment (n = 42 with false discovery rate [FDR]?< 0.05 and fold change > 2) and 5 days post-CIE (P5) treatment (n = 26) compared with untreated control values. Compared to CIE10, ethanol (EtOH) removal experience in P5 induced a distinct expression pattern, including 20 differentially expressed miRNAs,	up-regulated	
miR-183*	MIMAT0004560	Doxorubicin	approved	DB00997	31703	Microarray	Homo sapiens 	K562 cells	22606351	2012	Induction of cellular senescence by doxorubicin is associated with upregulated miR-375 and induction of autophagy in K562 cells	MicroRNA profiling revealed upregulated miR-375 in DOX-induced senescent K562 cells.	up-regulated	
miR-183*	MIMAT0004560	5-Fluorouracil 	approved	DB00544	3385	Microarray	Homo sapiens 	CNE cells	22614822	2012	5-Fluorouracil in combination with cisplatin alters the microRNA expression profile in the CNE nasopharyngeal carcinoma cell line.	we show that 5-FU in combination with cisplatin significantly alters the global expression profile of miRNAs in CNE cells	up-regulated	
miR-183*	MIMAT0017141	Propranolol 	approved	DB00571	4946	Quantitative real-time PCR	Rattus norvegicus 	heart	22847192	2012	Beta-adrenoceptor regulates miRNA expression in rat heart.	The recognized anti-hypertrophic miRNAs miR-1, miR-21 and miR-27b, and the pro-hypertrophic miRNAs miR-22, miR-24, miR-199a, miR-212 and miR-214, were upregulated in the ISO group. In the PRO group, pro-hypertrophic miRNA miR-30c was upregulated, whereas miR-212 was downregulated.	down-regulated	
miR-1833	MIMAT0006775	Nicotine	approved	DB00184	89594	Microarray 	Caenorhabditis elegans	Caenorhabditis elegans	23765240	2013	Chronic nicotine exposure systemically alters microRNA expression profiles during post-embryonic stages in Caenorhabditis elegans.	The most downregulated miRNAs were mir-58 (P?=?0.014) followed by mir-1821 (P?=?0.03) and lin-4 (P?=?0.002) (Table 1).   	up-regualted	
miR-184	MIMAT0000213	Fentanyl	approved	DB00813	3345	Microarray	Mus musculus 	mouse cerebella	19854889	2010	mu-Opioid receptor agonists differentially regulate the expression of miR-190 and NeuroD.	As listed in Table 1, three miRNAs, miR-224, miR-331, and miR-365, were modulated by both morphine and fentanyl. One miRNA, miR-20a, was modulated only by morphine. Another three miRNAs, miR-184, miR-190, and miR-301, were modulated by fentanyl only.	up-regulated	
miR-184	MIMAT0000454	Arsenic trioxide	approved	DB01169	14888	Quantitative real-time PCR	Homo sapiens 	acute promyelocytic leukemia	22072212	2012	Alteration in miRNA gene expression pattern in acute promyelocytic leukemia cell induced by arsenic trioxide: a possible mechanism to explain arsenic multi-target action.	Figure 4 shows the list of the 88 cancer-related miRNAs used  in  this  experiment  and  their  fold  changes  in  the expression  level  after  ATO  exposure.   	up-regulated	
miR-184	MIMAT0000454	5-Fluorouracil 	approved	DB00544	3385	Microarray	Homo sapiens 	CNE cells	22614822	2012	5-Fluorouracil in combination with cisplatin alters the microRNA expression profile in the CNE nasopharyngeal carcinoma cell line.	we show that 5-FU in combination with cisplatin significantly alters the global expression profile of miRNAs in CNE cells	up-regulated	
miR-184	MIMAT0000861	Furan 	NULL	NULL	8029	Quantitative real-time PCR	Rattus norvegicus 	liver	22079235	2011	Gene expression and epigenetic changes by furan in rat liver	We also found 18 miRNAs were up-regulated and 12 were down-regulated by PCR	up-regulated	
miR-184	MIMAT0000861	Isoproterenol	approved	DB01064	3779	Quantitative real-time PCR	Rattus norvegicus 	heart	22847192	2012	Beta-adrenoceptor regulates miRNA expression in rat heart.	"Compared to the control group, 5 miRNAs were upregulated by >1.3-fold, and 28 downregulated by <30% in the PRO group; 43 miRNAs were upregulated by>1.3-fold and 9 were decreased by <30% in the ISO group (Table 2)."	up-regulated	
miR-184	MIMAT0000861	Propranolol 	approved	DB00571	4946	Quantitative real-time PCR	Rattus norvegicus 	heart	22847192	2012	Beta-adrenoceptor regulates miRNA expression in rat heart.	"Compared to the control group, 5 miRNAs were upregulated by >1.3-fold, and 28 downregulated by <30% in the PRO group; 43 miRNAs were upregulated by>1.3-fold and 9 were decreased by <30% in the ISO group (Table 2)."	down-regulated	
miR-184	MIMAT0001853	Perfluorooctane sulfonate 	NULL	NULL	74483	Microarray	Danio rerio 	zebrafish embryos	20878907	2011	MicroRNA expression changes during zebrafish development induced by perfluorooctane sulfonate.	Among the detectedmiRNAs, 39 and 81 miRNAs were differentially expressed at 24 and 120 hpf respectively (Fig. 2, Table S1, see Supporting Information).	down-regulated	
miR-185	MIMAT0000214	Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)	NULL	NULL	8490	Microarray	Mus musculus 	mouse brain	19270793	2009	RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver	The expression levels of 84 miRNAs were significantly altered in mouse brain after RDX exposure (Table 1,Figures 3, 4A).	down-regulated	
miR-185	MIMAT0000214	Hexahydro-1,3,5-trinitro-1,3,5-triazine (RDX)	NULL	NULL	8490	Microarray	Mus musculus 	mouse liver 	19270793	2009	RDX Induces Aberrant Expression of MicroRNAs in Mouse Brain and Liver	RDX exposure significantly affected the expression of 56 miRNAs in mouse liver (Table 2, Figures 3,4B).	down-regulated	
miR-185	MIMAT0000455	Benzene	NULL	NULL	241	MiRNA PCR array	Homo sapiens	white blood cell	24780745	2014	Aberrant miRNA profiles associated with chronic benzene poisoning.	Totally, 6 up-regulated miRNAs (miR-34a, miR-205, miR-10b, let-7d, miR-185 and miR-423-5p-2) and 7 down-regulated miRNAs (miR-133a, miR-543, hsa-miR-130a, miR-27b,miR-223, miR-142-5p and miR-320b) were found in chronic benzene poisoning group compared to health controls (P ? 0.05). 	up-regulated	
miR-185	MIMAT0000455	Benzene	NULL	NULL	241	MiRNA PCR array	Homo sapiens	blood mononuclear cells	24780745	2014	Aberrant miRNA profiles associated with chronic benzene poisoning	9 up-regulated miRNAs (miR-34a, miR-205, miR-10b, let-7d, miR-185 and miR-423-5p-2)	up-regulated	
miR-185	MIMAT0000455	Cisplatin	approved	DB00515	84093	Microarray	Homo sapiens 	ovarian cancer 	19237188	2009	MicroRNAs and their target messenger RNAs associated with ovarian cancer response to chemotherapy.	Overall, linear regression analysis identified a total of 27 miRNAs(Table 1) that were significantly associated with OVCA cell responsiveness to one or more chemotherapeutic agents in the 16 cell lines.	down-regulated	
miR-185	MIMAT0000455	Oxaliplatin (L-OHP)	approved	DB00526	5310940	Microarray	Homo sapiens 	HCT-116 colon cancer cell line	19956872	2010	5-Fluorouracil and oxaliplatin modify the expression profiles of microRNAs in human colon cancer cells in vitro.	There were 17 and 3 miRNAs significantly (p<0.01)down-regulated  in  HCT-8  cells following  exposure  to  5-FU and  L-OHP  for  24  h,  respectively,  and  the  corresponding numbers  of  down-regulated  miRNAs  were  15  for  both  in HCT-116 cells (Table III).	down-regulated	
miR-185	MIMAT0000455	Formaldehyde	NULL	DB03843	712	Microarray	Homo sapiens 	Human lung epithelial cells (A549)	21147603	2011	Epigenetic changes induced by air toxics formaldehyde exposure alters miRNA expression profiles in human lung cells.	"A total of 89 miRNAs showed a significant decrease in expression in the formaldehyde-exposed lung samples compared with control samples [Figure 1; see also Supplemental Material, Table 1 (doi:10.1289/ehp.1002614)]."	down-regulated	
miR-185	MIMAT0000862	Dexamethasone	approved	DB01234	5743	Microarray	Rattus norvegicus 	primary rat thymocytes	20847043	2010	Glucocorticoids modulate microRNA expression and processing during lymphocyte apoptosis.	Of the 350 microRNAs represented on our chip, 56 were differentially expressed in response to glucocorticoid-induced apoptosis (Fig. 2A). Surprisingly, the majority of these microRNAs (79% or 44 microRNAs) were repressed, and only 12 low abundance microRNAs were weakly induced during this time frame. 	down-regulated	
miR-185	MIMAT0000862	Comfrey	NULL	NULL	6440495	Microarray	Rattus norvegicus 	rat liver	21370286	2011	MicroRNAs and their predicted target messenger RNAs are deregulated by exposure to a carcinogenic dose of comfrey in rat liver.	Overall,  microarray  analysis  identified  a  total  of  45 miRNAs  (Table  I)  whose  expression  was  significantly changed  by  the  comfrey  treatment  (P  <  0.01).  	up-regulated	
miR-185	MIMAT0000862	Isoproterenol	approved	DB01064	3779	Quantitative real-time PCR	Rattus norvegicus 	heart	22847192	2012	Beta-adrenoceptor regulates miRNA expression in rat heart.	The recognized anti-hypertrophic miRNAs miR-1, miR-21 and miR-27b, and the pro-hypertrophic miRNAs miR-22, miR-24, miR-199a, miR-212 and miR-214, were upregulated in the ISO group. In the PRO group, pro-hypertrophic miRNA miR-30c was upregulated, whereas miR-212 was downregulated.	down-regulated	
miR-185 	MIMAT0000455	5-Fluorouracil 	approved	DB00544	3385	Quantitative real-time PCR	Homo sapiens 	colon cancer cells	17702597	2007	Modification of miR gene expression pattern in human colon cancer cells following exposure to 5-fluorouracil in vitro.	As shown in Fig. 1, 22 miR genes were found to be consistently dysregulated by drug treatment of C22.20 cell clone.	up-regulated	
miR-186	MIMAT0000456	Gemcitabine	approved	DB00441	60750	Northern blot	Homo sapiens 	Mz-ChA-1 human cholangiocarcinoma cell lines  	16762633	2006	Involvement of human micro-RNA in growth and response to chemotherapy in human cholangiocarcinoma cell lines.	Gemcitabine  treatment  resulted  in  a  greater  than 2-fold increase in the expression of a group of miRNA that included miR-202, miR-320, miR-374, miR-1-2,miR-16-1,  miR-24-1, let7f-2,  let7a-1,  and  miR-374(Table 3). 	down-regulated	
miR-186	MIMAT0000456	Formaldehyde	NULL	DB03843	712	Microarray	Homo sapiens 	Human lung epithelial cells (A549)	21147603	2011	Epigenetic changes induced by air toxics formaldehyde exposure alters miRNA expression profiles in human lung cells.	"A total of 89 miRNAs showed a significant decrease in expression in the formaldehyde-exposed lung samples compared with control samples [Figure 1; see also Supplemental Material, Table 1 (doi:10.1289/ehp.1002614)]."	down-regulated	
miR-186	MIMAT0000456	1,2,6-Tri-O-galloyl-beta-D-glucopyranose 	NULL	NULL	NULL	Microarray	Homo sapiens 	HepG2 hepatocarcinoma cells.	22506400	2011	[A new natural polyphenol BJA32531 inhibited the proliferation and regulated miRNA expression in human HepG2 hepatocarcinoma cells].	Cellular exposure to BJA32531 influenced the miRNA expression pattern in the cells, including 19 upregulated and 85 down-regulated miRNAs in the cells. The up-regulations of let-7a and miR-10b as well as the down-regulations of miR-132 and miR-125b were verified to be consistent with the the results of the miRNA array.	down-regulated	
miR-186	MIMAT0000456	Ginsenoside Rh2 	NULL	NULL	119307	Microarray 	Homo sapiens 	NSCLC cell line A549	23152132	2013	Ginsenoside Rh2 mediates changes in the microRNA expression profile of human non-small cell lung cancer A549 cells.	Using miRNA microarray analysis, we identified 44 and 24 miRNAs displaying changes in expression greater than 2-fold in Rh2-treated A549 cells	up-regulated	
miR-186	MIMAT0000863	Nicotine	approved	DB00184	89594	Microarray	Rattus norvegicus 	Rat  adrenal  pheochromocytoma  PC12 cell	18845019	2009	Nicotine modulates expression of miR-140*, which targets the 3'-untranslated region of dynamin 1 gene (Dnm1).	Of most importance,  we  identified  25  miRNAs  whose  expressions were sensitive to nicotine stimulation, 11 up-regulated and 14 down-regulated by nicotine (Table 1).	down-regulated	
miR-186*	MIMAT0004540	Tert-butyl hydroperoxide (t-BHP)	NULL	NULL	6410	Microarray	Mus musculus 	mouse auditory cells	20510889	2010	Profiles of oxidative stress-related microRNA and mRNA expression in auditory cells.	In comparison with that in unmanipulated control cells,treatment with t-BHP(50, 100, and 200 um)significantly increased the transcription levels of 35 miRNAs, but decreased the  expression  of  40  miRNAs.Treatment  with  50, 100, or 200 um of t-BHP up-regulated the relative levels of 21, 19, and 21 miRNAs, but down-regulated the transcription levels of 30,17, and 33 miRNAs, respectively (Table 1). 	down-regulated	
